"","CCG_CODE","CCG_ONS_CODE","CCG_NAME","STP_CODE","SUBREGION_ONS_CODE","REGION_ONS_CODE","APPOINTMENT_DATE","APPOINTMENT_STATUS","HCP_TYPE","APPOINTMENT_MODE","TIME_BETWEEN_BOOK_AND_APPT","COUNT_OF_APPOINTMENTS"
"17","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",20
"18","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Home Visit","Same Day",1
"19","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",4
"20","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",101
"21","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",25
"22","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",141
"23","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",127
"24","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",82
"25","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",57
"26","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",492
"27","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",5
"28","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","More than 28 Days",2
"29","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",48
"30","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",1
"31","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",24
"32","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",6
"33","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",5
"34","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",2
"35","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",76
"36","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4
"37","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1
"38","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",69
"39","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",32
"40","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",4
"41","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",2
"42","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Home Visit","15  to 21 Days",1
"43","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",9
"44","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",1029
"45","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",542
"46","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",286
"47","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1410
"48","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",192
"49","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2754
"50","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",4
"51","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","01-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",539
"52","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",17
"53","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",33
"54","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",3
"55","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",20
"56","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"57","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",4
"58","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",1
"59","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",3
"60","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1
"61","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",5
"62","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1
"63","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",18
"64","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",14
"65","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1
"66","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",58
"67","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",30
"68","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Home Visit","Same Day",2
"69","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",114
"70","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",32
"71","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",145
"72","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",68
"73","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",10
"74","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",42
"75","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",1
"76","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",445
"77","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","More than 28 Days",3
"78","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",25
"79","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",3
"80","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",15
"81","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",1
"82","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",89
"83","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",9
"84","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"85","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",29
"86","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",5
"87","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",6
"88","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",5
"89","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",62
"90","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",3
"91","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",2
"92","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2445
"93","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",150
"94","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",473
"95","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",441
"96","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1162
"97","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",227
"98","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","02-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",875
"99","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",4
"100","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",42
"101","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",1
"102","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",7
"103","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",8
"104","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",30
"105","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",1
"106","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",2
"107","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",6
"108","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",2
"109","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",28
"110","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",1
"111","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",6
"112","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",23
"113","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1
"114","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",6
"115","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",86
"116","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",19
"117","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",111
"118","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",4
"119","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",28
"120","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Home Visit","2 to 7 Days",1
"121","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",4
"122","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",170
"123","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",79
"124","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",45
"125","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",544
"126","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2
"127","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",19
"128","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",1
"129","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",130
"130","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1
"131","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4
"132","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",48
"133","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",39
"134","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",8
"135","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",6
"136","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2943
"137","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1581
"138","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",486
"139","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",417
"140","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",278
"141","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",979
"142","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","03-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",149
"143","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",1
"144","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",2
"145","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",30
"146","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",6
"147","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",29
"148","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",33
"149","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",257
"150","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",75
"151","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",52
"152","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",50
"153","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",173
"154","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",3
"155","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",1
"156","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",10
"157","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","04-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",9
"158","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","05-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",370
"159","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",27
"160","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",1
"161","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",37
"162","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"163","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1
"164","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",7
"165","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",28
"166","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1
"167","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","06-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",25
