"CCG_CODE","Appointment_Date","APPT_STATUS","HCP_TYPE","APPT_MODE","TIME_BETWEEN_BOOK_AND_APPT","COUNT_OF_APPOINTMENTS","Weekday","patients","all_patients","ratio_patients"
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",1029,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","1 Day",542,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",286,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1410,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",192,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2754,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",4,"Wednesday",446595,513546,0.869629984460983
"05A","01/11/2017","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",539,"Wednesday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Home Visit","Same Day",17,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Telephone","Same Day",33,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",3,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Telephone","1 Day",20,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",4,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Home Visit","1 Day",3,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",5,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",18,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Telephone","Same Day",14,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",58,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",30,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Home Visit","Same Day",2,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",114,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",32,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",145,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",68,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",10,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",42,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","Same Day",445,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","More than 28 Days",3,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",25,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",3,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",15,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",89,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",9,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",1,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Home Visit","Same Day",29,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",5,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",6,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Home Visit","1 Day",5,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Telephone","1 Day",62,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",3,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","DNA","HCP Type Not Provided","Telephone","1 Day",2,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2445,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",150,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",473,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","1 Day",441,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1162,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",227,"Thursday",446595,513546,0.869629984460983
"05A","02/11/2017","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",875,"Thursday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",4,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Telephone","Same Day",42,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",7,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Telephone","1 Day",8,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Home Visit","Same Day",30,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",2,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Home Visit","1 Day",6,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",2,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",28,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",6,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Telephone","Same Day",23,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",6,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",86,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",19,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",111,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",4,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",28,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Home Visit","2 to 7 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Telephone","1 Day",4,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",170,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",79,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",45,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","Same Day",544,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",19,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",130,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Telephone","1 Day",48,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Home Visit","Same Day",39,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",8,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Home Visit","1 Day",6,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2943,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1581,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",486,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","1 Day",417,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",278,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",979,"Friday",446595,513546,0.869629984460983
"05A","03/11/2017","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",149,"Friday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",1,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",2,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",30,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",6,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",29,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Same Day",33,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",257,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","1 Day",75,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",52,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",50,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",173,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",3,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",10,"Saturday",446595,513546,0.869629984460983
"05A","04/11/2017","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",9,"Saturday",446595,513546,0.869629984460983
"05A","05/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",370,"Sunday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Telephone","Same Day",27,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Home Visit","More than 28 Days",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Home Visit","Same Day",37,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",7,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",28,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",25,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",3,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",2,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Telephone","Same Day",15,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",5,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",119,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",25,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Home Visit","Same Day",1,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",163,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",44,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",261,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",73,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",5,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","Same Day",662,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",23,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",153,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",7,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Home Visit","Same Day",82,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",2,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",15,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",9,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Same Day",3930,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",158,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",6,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",995,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",267,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",8,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1921,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",608,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Face-to-Face","1 Day",28,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",5,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",2,"Monday",446595,513546,0.869629984460983
"05A","06/11/2017","Attended","HCP Type Not Provided","Telephone","More than 28 Days",1,"Monday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",2,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Home Visit","2 to 7 Days",1,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Same Day",90,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",22,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",139,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",191,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","1 Day",66,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Telephone","Same Day",520,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",4,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",118,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",2,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Telephone","1 Day",67,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Home Visit","Same Day",49,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",1,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Home Visit","22  to 28 Days",1,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",9,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1,"Tuesday",446595,513546,0.869629984460983
"05A","07/11/2017","Attended","HCP Type Not Provided","Home Visit","1 Day",18,"Tuesday",446595,513546,0.869629984460983
