"iid","gender","attr1_1"
524,"female",15
525,"female",10
526,"female",10
527,"female",50
528,"female",40
529,"female",10
530,"female",20
531,"male",15
532,"male",25
533,"male",25
534,"male",30
535,"male",23
536,"male",30
537,"male",20
538,"male",50
539,"male",30
540,"male",20
541,"male",40
542,"male",25
543,"male",20
544,"male",15
545,"male",20
546,"male",35
547,"male",25
548,"male",40
549,"male",20
550,"male",30
551,"male",40
552,"male",70
